,Unnamed: 0,url,region,province,locality,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
0,0,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/10833667,Wallonie,Liège,Seraing,HOUSE,HOUSE,144000.0,2.0,105.0,SEMI_EQUIPPED,0,0,1,0.0,1,25.0,105,2,0,GOOD
1,1,https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/10833916,Wallonie,Liège,Herstal,HOUSE,HOUSE,164000.0,4.0,167.0,INSTALLED,0,0,1,80.0,0,0.0,90,3,0,TO_BE_DONE_UP
2,2,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/aalst/9300/10833652,Flanders,East Flanders,Aalst,HOUSE,MIXED_USE_BUILDING,295000.0,3.0,249.0,INSTALLED,0,0,1,21.0,0,0.0,180,2,0,GOOD
3,3,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/geraardsbergen%20moerbeke/9500/10833701,Flanders,East Flanders,Geraardsbergen Moerbeke,HOUSE_GROUP,HOUSE_GROUP,,0.0,195.2316176470588,NOT_INSTALLED,0,0,0,0.0,0,0.0,-1,1,0,
4,4,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/harelbeke/8530/10834022,Flanders,West Flanders,Harelbeke,HOUSE_GROUP,HOUSE_GROUP,,0.0,195.2316176470588,NOT_INSTALLED,0,0,0,0.0,0,0.0,-1,1,0,
5,5,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/wuustwezel/2990/10833448,Flanders,Antwerp,Wuustwezel,HOUSE_GROUP,HOUSE_GROUP,,0.0,195.2316176470588,NOT_INSTALLED,0,0,0,0.0,0,0.0,-1,1,0,
6,6,https://www.immoweb.be/en/classified/town-house/for-sale/dilbeek/1700/10833480,Flanders,Flemish Brabant,Dilbeek,HOUSE,TOWN_HOUSE,590000.0,4.0,290.0,HYPER_EQUIPPED,0,0,1,0.0,0,0.0,517,3,1,GOOD
7,7,https://www.immoweb.be/en/classified/house/for-sale/antwerp/2000/10831508,Flanders,Antwerp,Antwerp,HOUSE,HOUSE,439900.0,2.0,160.0,INSTALLED,0,0,1,13.0,0,0.0,48,2,0,AS_NEW
8,8,https://www.immoweb.be/en/classified/house/for-sale/lede/9340/10831292,Flanders,East Flanders,Lede,HOUSE,HOUSE,449000.0,2.0,145.0,HYPER_EQUIPPED,0,0,1,0.0,0,0.0,527,3,0,AS_NEW
9,9,https://www.immoweb.be/en/classified/house/for-sale/lievegem/9930/10831406,Flanders,East Flanders,Lievegem,HOUSE,HOUSE,495000.0,4.0,194.0,USA_HYPER_EQUIPPED,0,0,1,66.0,1,630.0,975,3,0,GOOD
